date,snippet,price change,tweets
2015-12-01,"Mike is a medieval witch hunter, as Farhad retreats into Mario Microsofts grab for Slacks lunch is discussed And Amazon could do better at inspiring shopping Microsofts Windows Movie Maker app is headed for retirement next year, but an updated version is promised and other programs may fill the void Legal experts say Donald Trumps election could change how vigorously the federal government handles two giant deals and others in the industry Rethink is the British journalist Steven Pooles attack on what he calls a Silicon Valley ideology The Anger Room in Dallas and other businesses that let people break things to release their rage have gained customers, especially during the election season Youngestever finalists  one from Norway, one from Russia  compete for the games ultimate award The wood products and timberlands company shifts its  employees to new headquarters in the Pioneer Square district, in part because of the areas recruitment value",pos,announces voice and video in to launch windows net s surface phone allegedly releasing in d s surface phone allegedly releasing in s surface phone allegedly releasing in do em virtual s best hope for a comeback is due in the second half of next year look out the are coming to were officially a part of the family at dos do windows continue a s surface phone allegedly releasing in d from the vs s holiday ad is filmed outside an has anyone has problem with mine just stopped working visual studio update is here launch of the motor city user group one gaming console bundle w upon getting my first computer way back in i thought protection came standard judge orders to give what it wants excited for the new year as very soon innovative educator connection call
2015-12-02,"Get your Sundaynight groove on with the American Music Awards And the troubled story of Noah Solloway resumes on The Affair Heres what you need to know to start your day A Russian and a Norwegian are battling in a contest that is once again taking place during escalating tensions among Russia, the United States and Western Europe",neg,et vocal via gamer rupiah big new cloud partnership is a lot like the one already signed with is making windows worse to make it better lamp that melds old tractors superheroes slamming goal what do you get trying to watch the ad filmed at the apple store but its not loading cloud computing platform now endorses cloud computing platform now endorses cloud computing platform now endorses d of our is up at this week a bug s op center and from to with the spirit of the season on th ave via migration quick start forget everyone we are open showcases uses in and gas and showcases uses in and gas and best offer on best offer on when people apply for a job at would they use the resume template cover letter from word best offer on
2015-12-03,"Shares of Target rose after the retailer reported strong sales and released an optimistic forecast for the holiday shopping season The recent successful sales of Impressionist, modern and contemporary art in New York showed that auction houses are now attracting bluechip artworks, albeit with financial inducements The house that once trailed behind Sothebys and Christies is now primed to compete with them, hiring their experts and offering more guarantees at sales",neg,here are some of the gestures for edge on the micros here are some of the gestures for edge on the micros finds an unlikely vocal critic i can see that this also just happened lo spot fa ad u mark a para la what vendor is the leading retail software provider chain store age disability is our strength via disability is our strength score for and more during game enjoying the treatment provided by for their fans now with tickets in not sure if insulting your customers is the best ad campaign disability is our strength days of deals free games game of choice consoles via disability is our strength office and azure widespread
2015-12-04,Benchmark United States crude oil rose almost  a barrel on the New York Mercantile Exchange,pos,windows server moving to per core not per socket licensing your with this easy tutorial to play retro games enroll for free and get rewarded use my link to get in bonus earn credits via read all about the release of visual studio update s next build conference is slated for march thought that changing a face the which controls and a logo would help now they use buybacks to prop up stock boom my new is on its way to me shipping in hp enterprise touts partnership with on computing via imported pro to at created on cloud scalability patterns with enroll for free get rewarded use my link to get in bonus earn credits via describes how he moved k workers to office in months s next conference is set to take place in at the end of march para en how tech pros change the beer market net session proposal a universal schema language for love and use tons of products but seriously the worst customer help support i have ever
2015-12-06,"The computer giant says its ready to start planning a prototype quantum computer, a superpowerful device that relies on subatomic particles instead of transistors",neg,surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers here needs to start being honest with its windows users its are dead surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers surface pro is getting new display drivers drops dogma improves karma engine a a apple store you can view status of support tickets for o on the portal but not lodge new site for that hp announces envy note an inch windows tablet hp today may unleash windows fall update on box and others releasing i like the video on via as el el sin el
2015-12-08,"In charges brought recently against Google and earlier against Microsoft, officials say that each company favored some of its services over those of rivals The host Stephen J Dubner and panelists consider mules, their defenders and other wonders of the natural world, including marine animals that will either live forever or kill you  or both Here are some basic actions for making your personal data more difficult for attackers to access GaymerX East, a convention that embraces gender diversity in gaming, took place amid fears of a Trumpera backlash",pos,a en tablets en integrates into its power bi business intelligence service la dynamics ax best offer on best offer on best offer on best offer on d best offer on best offer on c tips fr fr and a very patch to you too details more on its plan signs you need the management bundle for windows details more on its plan windows mobile review first phone to boast new software has the para email surface pro discounts spotted in amazon with the popularity of mi
2015-12-09,"Were open sourcing our video transcoding API and video encoding presets, as part of our plan to open source our video encoding and distribution pipeline Heres what you need to know to start your day Tax reform is one thing Presidentelect Donald J Trump and Speaker Paul Ryan can agree on, broadly, though the specifics can get thorny",neg,releases on android windows media center link file incorrectly resolved reference windows media center library parsing vulnerability aka windows media center link file incorrectly resolved reference windows media center library parsing vulnerability aka windows media center link file incorrectly resolved reference windows media center library parsing vulnerability aka windows media center link file incorrectly resolved reference windows media center library parsing vulnerability aka best offer on best offer on best offer on extends one bundle deals through windows ultimate bit service pack finally has a desktop but theres a catch all new games are check out computer drawing adults paperback guide v via how to use office generator laptop mag finally has a desktop but theres a catch
2015-12-10,"This month, we added support for degree videos into our core news products  and today, were open sourcing our  video framework for iOS and  presets At a time when the city can seem unbearably expensive and the price of a subway ride is set to increase again, attention has turned to a cost that many struggle to afford a MetroCard Shares of Harman International soared after the company agreed to be acquired by Samsung Electronics",neg,introduces certification anybody else fall into an alternate reality today surface overtakes apples as tablet sources and forks windows live writer into open live writer poor lance android et via why will beat in the enterprise cloud war lance android et via well its kinda like the store every turns out there is no line gets activity reminders music control have finally started designing some good devices here is one et former en it ad calls for truce with if only for the at supercomputing yes we support its good to see that thinks that links might not be safe why this startup is looking forward to competing with corp pens la place la la inside s million open sources visual studio code beta is it difficult for you to compare information in your workbook try this
2015-12-11,"The show will take a comic look at young political reporters against the backdrop of covering a presidential campaign Amid continuing low oil and natural gas prices, companies are again turning to tech advances to cut costs, raise productivity and expand exploration",neg,check out new halo master chief coll ed plus brand new games via backpedals on downgrades for more space surface pro core i ram debating between an and a here is a video that might help via wired desktop tries to make up for angering customers after killing unlimited storage work on in a smarter manner god damn it is a word the vs us warrant litigation impacting caves and gives back to legacy users beats out one in the us for sell office how you like them if you use you may want to read this did you see improve your build times with and visual studio tries to ease upgrade process if sick of that windows upgrade just download and install control panel thank me later screw
2015-12-12,"Predictive analytics, and election forecasting in particular, remains a young science Experts say some of the models could be off  to  percent The social network for professionals was found to have violated a law requiring it to store local users data within the country",neg,surface pro review configured like a real computer this u surface pro review configured like a real computer this engine surface pro review configured like a real computer this surface pro review configured like a real computer this surface pro review configured like a real computer this surface pro review configured like a real computer this releases three new ads for surface book th day of could give to me on the download for totally makes file transfers to windows windows phone dos surface pro review configured like a real computer this sent into surface pro review configured like a real computer this want to keep your of free storage after the changes roll out visit this page now surface pro review configured like a real computer this had that problem with the upgrade you can delete it but its never the same should be ashamed surface pro review configured like a real computer this
2015-12-13,"For todays designers, any object, symbol or pool of information is just another problem awaiting a new solution Is that a good thing",neg,mocks adults who love their star wars toys technically incorrect who are those review giving away free music to windows users could build a for corp how plans to make the great again via devices chief on surface book partnership apple review devices chief on surface book partnership apple devices chief on surface book partnership apple cu review employees serenade employees for peace on earth via devices chief on surface book partnership apple review devices chief on surface book partnership apple review devices chief on surface book partnership apple
2015-12-14,"When a team of young idealists tried to make a website for Californias foodstamp system, they learned just how complicated it can be to redesign the public sector Heres what you need to know to start your day",pos,chief drops an s bomb in windows cloud talk japan new music controls activity reminders and enhanced exercise tile now part of band and competing for small business share chief drops an s bomb in windows cloud talk d chief drops an s bomb in windows cloud talk why will beat in the enterprise cloud war chief drops an s bomb in windows cloud talk just saw my first only a couple of years too late chief drops an s bomb in windows cloud talk great chief drops an s bomb in windows cloud talk la y a para on cloud storage cut corp com object planting chief drops an s bomb in windows cloud talk chief drops an s bomb in windows cloud talk gigs of music disappearing off my is starting to hurt my life thanks you suck need red hat certified exam call folks now i like thought
2015-12-15,Ms Renos eight years in the office placed her in the middle of some of the most divisive episodes of the Clinton presidency She broke ground in a maledominated field in corporate roles and as a founding board member and chairwoman of the nonprofit New York New Media Association,neg,s gets off in the i and i now sold s gets off in the i and i now sold puff pieces that present a false dichotomy does the same with versions a en does a returns to old users s to go s to go s to go s engine to go s engine to go is giving users little choice but to to from to come a long way baby windows turns a visual history via fake calls aim to install on your s to go s to go s to go s engine to go s engine to go la the data development and net daily is out
2015-12-16,"Monday A scorecard on the ballot propositions using newspaper endorsements, a gentrification battle in Los Angeles, and a look back at Magic Johnsons HIV announcement For some, there was a realization that the tech industrys relationship with government  and the public  is likely to shift in a fundamental way If Windows  annoys you and you dont want to switch to a Mac, consider Linux or even a Chromebook instead",pos,best technology great design the surface book via my courses from these are great windows hello comes to older with upgrade to eye tracker releases for business for android bod en dynamics dew drop product design a playground for stories dynamics functional consultant best technology great design the surface book via best technology great design the surface book via i have not received an acceptable response yet from and why everyones angular and the graph best technology great design the surface book via well i blamed t for the slow turns out was updating that is very strange of deploying net based application in they better be new feature language improvements free courses materials and tutorials check it out here d best technology great design the surface book via best technology great design the surface book via
2015-12-18,Heres a roundup of our endorsements for key races on New York and New Jersey ballots,neg,an that helps companies navigate their via headset opens developer demo rooms at flagship store m insane madness the only made software i have on any of my devices is outlook for it is really good placeholders making a return with band best technology great design the surface book via get informed with where does your candidate fall but more importantly where do you just dropped his best impression with ending with install when attached shame on you best technology great design the surface book via how to access your music files from anywhere with groove corp is bomb great use of improving c y best technology great design the surface book via la to can get you on the nova ten best technology great design the surface book via
2015-12-19,"After more than a decade away, a foreign correspondent comes back to take stock of his divided homeland Fear that Oracle would back away led NetSuite shareholders to accept a  billion offer over the objections of a major investor, T Rowe Price Prosecutors are investigating whether Hans Dieter Ptsch, the former top finance official at Volkswagen, failed to warn shareholders about the scandal Ahead of meetings on global warming, executives recognize the need to show they are acting to pare energy use and emissions",neg,we keep on building the pillars to reach our great news for building the intelligent cloud check out new halo master chief coll ed plus brand new games via ed weekly wrap unlimited for some new windows preview developers can check out at store surface rt in dark titanium rt in dark titanium office office pose as support look to install best offer on best offer on best offer on best offer on best offer on reserve your free copy now windows coming on announced the general how to use translator with smart localization ya est en el a big guy who is into like me
2015-12-21,"Heres what you need to know to start your day Once so close they flirted with a merger, the software giants became archrivals when they realized the value of the data amassed by social networks",neg,happy holidays u review a year ago i gave up on we can help implement your strategy contact us today adds virtual array to storage see what for government can do for you will stop trusting certificate authorities if new requirements not followed read more buys ray communications startup team will join great best technology great design the surface book via buys communication startup will shutter service in nothing happened just trying to parallel park my benefactor shares could rise pct in months corp vs on an
